Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
le crayon;der Bleistift;5;2013-01-09T18:27:08;0;5;
mardi;dienstag;2;2013-01-09T17:23:29;0;1;
justement;ausgerechnet;5;2013-01-05T18:02:10;4;1;
le brouillard;der Nebel;9;2013-01-07T23:57:14;1;33;
j'ai les mains qui géle;mir frieren die Hände ab;2;2013-01-09T00:36:05;0;1;
l'agence pour l'emploi;das Arbeitsamt;1;2013-01-09T18:50:59;0;1;
le manque;der Mangel;1;2013-01-09T19:25:28;0;1;
en entrant dans la piéce, il eut un infarctus;Als er das Zimmer betrat, bekam er einen Herzinfarkt;6;2013-01-05T16:47:32;4;4;
en tricotant le pullover, elle regardait un western;Während sie den Pullover strickte, sah sie sich einen Western an;5;2013-01-05T18:02:40;4;1;
peter un cable;durchdrehen;4;2013-01-08T18:52:44;1;2;
ni d'une façon ni de l'autre;weder so noch so;8;2012-12-28T11:04:53;12;9;
faire des calins à quelqu'un;mit jemandem schmusen;2;2013-01-09T18:31:53;0;1;
L'economie est en crise;die wirtschaft steckt in einer krise;1;2013-01-09T18:30:07;0;1;
le mois le plus chqud de l'année;Der heißeste monat des jahres;5;2013-01-09T18:30:35;0;5;
l´accomplissement;die Durchführung;6;2013-01-09T17:24:09;0;8;
déconnecter (electrique, pour une personne);abschalten;7;2013-01-01T20:15:34;8;5;
pour changer;zur Abwechslung;2;2013-01-09T00:34:05;0;1;
regaler qq;bewirten;8;2012-12-25T11:38:36;15;6;
Le brouillard se lève;Der Nebel hebt sich;7;2013-01-05T16:43:55;4;9;
C'est pour les concerts que les plus jeunes dépensent le plus;Für konzerte geben die Jungendlichen am meisten aus;1;2013-01-09T18:30:26;0;1;
Pourriez-vous me montrer le chemin s'il vous plaît ?	;Können Sie mir bitte den Weg zeigen?;1;2013-01-09T18:27:22;0;1;
le magasin;der Laden;8;2012-12-31T14:13:58;9;12;
mal famé;berüchtigt;7;2013-01-04T15:53:14;5;8;
un montant;der Betrag;8;2012-12-28T11:02:26;12;9;
secondaire;nebensächlich;8;2013-01-08T00:01:23;1;20;
la mollesse;die schlaffheit;5;2013-01-05T18:01:50;4;1;
le rayon;der Strahl;8;2013-01-02T17:03:01;7;14;
accepter, admettre;annehmen;7;2013-01-01T20:15:51;8;5;
Elle est plus connu comme chanteuse que comme pianiste;Sie ist bekannter als Sängerin denn als Pianistin;7;2013-01-09T20:23:13;0;13;
l'origine;die Herkunft;8;2013-01-05T16:44:01;4;17;
un bouquet;der Strauß;6;2013-01-05T16:47:37;4;4;
deboiter, desarticuler;ausrenken;8;2012-12-24T12:38:28;16;5;
bon enfant, bonasse;gutmütig;8;2012-12-21T21:58:41;18;3;
le mal;das übel;8;2012-12-23T14:31:51;17;4;
Faut pas pousser mémé dans les orties;Man darf nicht übertreiben;6;2013-01-05T16:45:46;4;4;
avoué;erkannt;6;2013-01-09T00:34:53;0;8;
la punition;die Bestrafung;7;2013-01-05T16:44:40;4;9;
