Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
le crayon;der Bleistift;4;2013-01-06T16:12:59;1;2;
mardi;dienstag;1;2013-01-08T00:05:51.954869;0;1;
justement;ausgerechnet;5;2013-01-05T18:02:10;2;3;
le brouillard;der Nebel;9;2013-01-07T23:57:14.219329;0;34;
j'ai les mains qui géle;mir frieren die Hände ab;1;2013-01-08T00:03:22.699263;0;1;
l'agence pour l'emploi;das Arbeitsamt;7;2012-12-27T10:48:57;11;2;
le manque;der Mangel;7;2012-12-27T10:44:39;11;2;
en entrant dans la piéce, il eut un infarctus;Als er das Zimmer betrat, bekam er einen Herzinfarkt;6;2013-01-05T16:47:32;2;6;
en tricotant le pullover, elle regardait un western;Während sie den Pullover strickte, sah sie sich einen Western an;5;2013-01-05T18:02:40;2;3;
peter un cable;durchdrehen;3;2013-01-06T18:12:41;1;1;
ni d'une façon ni de l'autre;weder so noch so;8;2012-12-28T11:04:53;10;11;
faire des calins à quelqu'un;mit jemandem schmusen;1;2013-01-08T00:20:46.443232;0;1;
L'economie est en crise;die wirtschaft steckt in einer krise;1;2013-01-08T00:15:52.851038;0;1;
le mois le plus chqud de l'année;Der heißeste monat des jahres;4;2013-01-06T14:56:42;1;2;
l´accomplissement;die Durchführung;5;2013-01-03T22:35:01;4;1;
déconnecter (electrique, pour une personne);abschalten;7;2013-01-01T20:15:34;6;7;
pour changer;zur Abwechslung;1;2013-01-08T00:20:54.083218;0;1;
regaler qq;bewirten;8;2012-12-25T11:38:36;13;8;
Le brouillard se lève;Der Nebel hebt sich;7;2013-01-05T16:43:55;2;11;
C'est pour les concerts que les plus jeunes dépensent le plus;Für konzerte geben die Jungendlichen am meisten aus;5;2013-01-03T22:31:54;4;1;
Pourriez-vous me montrer le chemin s'il vous plaît ?	;Können Sie mir bitte den Weg zeigen?;1;2013-01-08T00:09:46.627801;0;1;
le magasin;der Laden;8;2012-12-31T14:13:58;7;14;
mal famé;berüchtigt;7;2013-01-04T15:53:14;3;10;
un montant;der Betrag;8;2012-12-28T11:02:26;10;11;
secondaire;nebensächlich;8;2013-01-08T00:01:23.899283;0;21;
la mollesse;die schlaffheit;5;2013-01-05T18:01:50;2;3;
le rayon;der Strahl;8;2013-01-02T17:03:01;5;16;
accepter, admettre;annehmen;7;2013-01-01T20:15:51;6;7;
Elle est plus connu comme chanteuse que comme pianiste;Sie ist bekannter als Sängerin denn als Pianistin;6;2013-01-01T20:11:43;6;2;
l'origine;die Herkunft;8;2013-01-05T16:44:01;2;19;
un bouquet;der Strauß;6;2013-01-05T16:47:37;2;6;
deboiter, desarticuler;ausrenken;8;2012-12-24T12:38:28;14;7;
bon enfant, bonasse;gutmütig;8;2012-12-21T21:58:41;17;4;
le mal;das übel;8;2012-12-23T14:31:51;15;6;
Faut pas pousser mémé dans les orties;Man darf nicht übertreiben;6;2013-01-05T16:45:46;2;6;
avoué;erkannt;5;2013-01-03T22:31:22;4;1;
la punition;die Bestrafung;7;2013-01-05T16:44:40;2;11;
réfléchir à propos de;Nachdenken;8;2012-12-23T14:30:16;15;6;
Seriez vous pret a payer plus cher pour ca?;Wären Sie bereit, mehr Geld dafür zu bezahlen?;6;2012-12-31T16:30:45;7;1;
il s'est cruellement vengé d'elle;er hat sich grausam an ihr gerächt;2;2013-01-07T23:56:34.691202;0;1;
je n'ai que feuilleté le journal;ich habe die Zeitung nur durchgeblättert;7;2013-01-05T16:45:18;2;11;
se rencontrer;sich begegnen;7;2012-12-31T14:44:39;7;6;
demarer l´odinateur;den Computer hochfahren;8;2012-12-24T12:37:03;14;7;
profiter (sans entrave);auskosten;1;2013-01-08T00:06:15.819161;0;1;
le camion;der Lastwagen;4;2013-01-06T16:44:00;1;2;
le bonheur;das Glück;8;2012-12-31T14:45:45;7;14;
l'entrepreneur;der Unternehmer;8;2012-12-18T12:36:35;20;1;
l'etonement;die Verwunderung;6;2013-01-02T18:19:01;5;3;
detester;verabscheuen;6;2013-01-01T20:11:00;6;2;
Ne me laissez pas en plan ici car je ne connais personne;Lassen Sie mich hier nicht im Stich, denn ich kenne niemanden;5;2013-01-03T22:32:19;4;1;
le suspect;der Tatverdächtige;7;2013-01-02T17:02:03;5;8;
l'ame;der Seele;5;2013-01-06T22:57:39;1;4;
cibler;festlegen;4;2013-01-05T16:46:04;2;1;
il dispose de beaucoup de temps libre;Er verfügt über viel freie Zeit;7;2012-12-31T14:13:21;7;6;
des lors que, sitôt;Sobald;9;2013-01-08T00:00:28.507218;0;34;
eteindre,  anesthésier, couper le contact;ausschalten;8;2012-12-31T14:15:36;7;14;
l'hiver;der Winter;8;2012-12-25T11:38:16;13;8;
forcer, astreindre;nötigen;8;2012-12-25T11:39:37;13;8;
l´acceleration;das Hochfahren;7;2013-01-02T17:01:28;5;8;
Peux-tu encore utiliser ça ?;Kannst du das noch verwenden?;6;2013-01-01T20:16:11;6;2;
avoir une dent contre quelqu'un;jemanden nicht leiden können;7;2013-01-01T20:32:51;6;7;
un marque page;das Lesezeichen;3;2013-01-06T18:11:06;1;1;
en tout cas;Jedenfalls;3;2013-01-06T18:12:26;1;1;
disponible;verfügbar;9;2013-01-08T00:00:33.083293;0;34;
la devinette, le mystére;das Rätsel;6;2013-01-02T17:00:34;5;3;
en general, generalement, au fait;überhaupt;7;2013-01-05T17:56:09;2;11;
debiter quelque chose d'un compte;abbuchen;8;2012-12-31T14:19:36;7;14;
la meuf;die Tussi;8;2012-12-31T14:18:58;7;14;
deporte a;verschoben;8;2012-12-24T12:40:54;14;7;
face a face;gegenüber;8;2013-01-05T16:43:47;2;19;
Je n'arrive pas à me decider à demenager;Ich kann mich nicht dazu entschließen umzuziehen;1;2013-01-08T00:16:34.179276;0;1;
le defenseur;der Verteidiger;8;2013-01-03T22:31:17;4;17;
Il en a rien a faire des gens;Er hat keinen bock auf die Leute;8;2013-01-05T16:45:58;2;19;
circuler;kursieren;8;2012-12-25T11:39:23;13;8;
l'offre;das Anbieten;5;2013-01-03T22:37:45;4;1;
creer, edifer, fonder;begründen;6;2013-01-05T16:47:49;2;6;
polluant;umweltschädlich;2;2013-01-07T23:56:42.762872;0;1;
Cette cravate va bien avec ta chemise;Diese Krawatte paßt gut zu deinem Hemd;1;2013-01-08T00:12:32.051266;0;1;
defendre, maintenir; wahren;8;2012-12-31T14:48:10;7;14;
même;Sogar;8;2012-12-18T12:36:40;20;1;
expirer,  arriver à échéance;ablaufen;9;2013-01-08T00:01:14.763291;0;34;
inéluctable;unvermeidbar;6;2013-01-06T21:57:16;1;7;
Je te félicite de ce succè;Ich gratuliere dir zu diesem Erfolg;1;2013-01-08T00:37:08.234877;0;1;
la chiasse;der Durchfall;9;2013-01-08T00:01:19.043288;0;34;
faire la gueule;spielen die beleidigte;2;2013-01-07T23:58:40.763599;0;1;
le printemps;der Frühling;9;2013-01-08T00:00:17.091385;0;34;
exterminer;ausroten;9;2013-01-08T00:08:42.507258;0;34;
le paysan;der bauer;9;2013-01-06T18:11:15;1;33;
Le parlement doit désormais approuver la nomination des hauts serviteurs de l'État;Der Ernennung hoher Staatsbediensteter soll künftig das Parlament zustimmen;1;2013-01-08T00:18:23.738856;0;1;
tous les membres du club ont participé à l'action;alle mitglieder des Vereins haben sich an der Aktion beteiligt;3;2013-01-06T18:11:00;1;1;
stocker, consigner;lagern;6;2013-01-05T16:47:52;2;6;
franc, sincere;aufrichtig;7;2013-01-04T15:56:09;3;10;
l'atmosphere;die Stimmung;8;2012-12-29T16:20:48;9;12;
un apercu;die Vorschau;1;2013-01-08T00:19:43.483312;0;1;
la curiosite;die Neugier;7;2013-01-01T20:22:22;6;7;
l'information;die Benachrichtigung;4;2013-01-05T16:51:16;2;1;
Attends un peu que je t'attrape;Warte nur, wenn ich dich erwische;4;2013-01-05T16:48:31;2;1;
arrivées et départs des trains;Ankunft und Abfahrt der Züge;7;2013-01-04T15:59:04;3;10;
empfohlen;recomandé;3;2013-01-08T00:04:33.819263;0;2;
jeudi;donnerstag;2;2013-01-08T00:04:19.458826;0;1;
couvrir, caché;bedecken;7;2013-01-04T15:54:36;3;10;
prouver;beweisen;6;2013-01-06T21:59:33;1;7;
Le plus grand peintre de notre temps;Der größte Maler unserer zeit;4;2013-01-06T14:56:31;1;2;
dans ce cas présent;im vorliegenden fall;6;2013-01-06T21:56:36;1;7;
Je tiens beaucoup à elle;ich hänge sehr an ihr;4;2013-01-08T00:04:29.211178;0;3;
choisi;ausgesucht;8;2012-12-26T11:18:33;12;9;
la loi mathematique, la propriete mathematique;das Gesetz;8;2012-12-31T14:44:56;7;14;
Qu'est ce qui est en jeu?;Was steht auf dem Spiel?;7;2012-12-31T14:18:48;7;6;
taper sur;schlagen;8;2013-01-05T16:51:56;2;19;
Il etait pale de frayeur;er war blaß vor Angst;4;2013-01-05T16:48:41;2;1;
J'y reste;Ich bleibe dort;8;2013-01-08T00:10:09.339349;0;21;
se joindre a (un groupe);mitmachen;7;2012-12-31T14:19:07;7;6;
infecté;verseucht;8;2013-01-03T22:34:08;4;17;
commencer;anfangen;9;2013-01-02T17:01:19;5;29;
parler sans être interrompu;ausreden;9;2013-01-08T00:06:20.107330;0;34;
chemin balisé de randonnée;der Wanderweg;8;2013-01-03T22:34:44;4;17;
l'admirateur;der Verehrer;8;2012-12-24T12:40:12;14;7;
une tarte au fraise;die Erdbeertorte;8;2012-12-29T16:26:12;9;12;
attraper, absorber, amortir;auffangen;5;2013-01-03T22:35:33;4;1;
Ce matin le téléphone n'a pas cessé de sonner;Heute Morgen hat das Telefon dauernd geläutet;4;2013-01-05T16:51:53;2;1;
Quelle sont les alternatives pour vous?;Was für Alternativen gibt es für sie?;3;2013-01-08T00:10:02.451209;0;2;
respirer;schnaufen;6;2013-01-06T21:57:09;1;7;
excellent;ausgezeichnet;4;2013-01-08T00:03:27.803305;0;3;
la meme;derselbe;7;2013-01-04T15:58:07;3;10;
briller, sembler;scheinen;9;2013-01-08T00:17:33.915263;0;34;
sortir;ausgehen;9;2013-01-08T00:17:07.539239;0;34;
berner;reinlegen;8;2013-01-05T16:49:24;2;19;
aimer, apprecier;schätzen;8;2012-12-31T14:24:56;7;14;
adimirer, reverer;verehren;8;2012-12-19T00:03:58;20;2;
un couple;das Paar;8;2013-01-03T22:39:29;4;17;
activer, allumer, enclencher;einschalten;8;2012-12-29T16:38:52;9;12;
il est passé devant moi sans me saluer;er ist an mir vorbeigegangen, ohne mich zu grüßen;1;2013-01-08T00:18:46.539331;0;1;
faire du velo;radeln;8;2012-12-24T12:39:40;14;7;
Il m'arrive des fois d'oublier de fermer la porte à clef;Es passiert mir manchmal, dass ich vergesse, die Tür abzuschließen;4;2013-01-06T14:57:17;1;2;
bénévolement;ehrenamtlich;4;2013-01-05T16:51:06;2;1;
du coup;daher;8;2012-12-25T11:50:21;13;8;
Qu'est-ce qu'il veut au juste?	;Was will er denn eigentlich?;5;2013-01-03T22:38:03;4;1;
derrière;nach hinten;8;2012-12-25T11:48:52;13;8;
c'est l'enfer;es ist die hölle los;1;2013-01-08T00:17:50.595259;0;1;
le jus de raisin;der Traubensaft;8;2013-01-03T22:37:03;4;17;
Qui peut boire le plus?;Wer kann am meisten trinken?;8;2013-01-03T22:40:05;4;17;
vers le sud;nach Süden;8;2012-12-25T11:51:05;13;8;
J'ai réussi à le persuader;Es ist mir gelungen, ihn zu überzeugen;1;2013-01-08T00:24:18.842916;0;1;
c'est pourquoi;deswegen;6;2012-12-31T14:23:47;7;1;
Ma mere est plus jeune que sa cousine;Meine Mutter ist jünger als ihre Kusine;7;2013-01-01T20:26:10;6;7;
la dispute;der Streit;6;2013-01-02T17:02:06;5;3;
l´emploi, l´occupation;die Beschäftigung;2;2013-01-08T00:13:13.947209;0;1;
ecoeurant;eklig;3;2013-01-08T00:13:07.643292;0;2;
Occupe-toi de tes oignons;Kümmer Dich um Deinen eigenen Kram;4;2013-01-05T16:52:41;2;1;
gogol;bescheuert;3;2013-01-06T18:11:12;1;1;
le petit garcon est tributaire de notre aide;der kleine junge ist auf unsere hilfe angewiesen;4;2013-01-06T16:45:12;1;2;
tu ne peux quand meme pas aller si loin a pied! Je prefere t'y emmener en voiture;Du kannst doch nicht so weit zu Fuß gehen! Ich fahre dich lieber dorthin;6;2013-01-05T16:49:20;2;6;
